listen_id,usr_ref_id,trk_ref_id,timestamp,track_id,artist_name,Genre,length_in_ms,internal_db_id,user_id,User Age Group,subscription_tier,sys_user_hash
1,167,146,2025-01-23 22:19:45,146,Artist_46,Electronic,121062,119870,167,45-54,Premium,usr_4734
2,91,114,2025-04-24 23:17:39,114,Artist_14,Electronic,232856,313945,91,35-44,Free,usr_8642
3,90,105,2025-01-06 15:32:21,105,Artist_5,Electronic,285983,138102,90,35-44,Free,usr_5324
4,19,143,2025-05-26 01:07:58,143,Artist_43,Pop,238324,617923,19,18-24,Free,usr_2181
5,39,119,2025-02-12 11:12:04,119,Artist_19,Hip-Hop,134397,625830,39,18-24,Premium,usr_8634
6,126,149,2025-03-05 19:52:42,149,Artist_49,Pop,272617,334677,126,45-54,Free,usr_3067
7,195,113,2025-04-21 10:30:02,113,Artist_13,Electronic,294358,254697,195,45-54,Premium,usr_6709
8,173,101,2025-01-04 05:56:14,101,Artist_1,Pop,205999,897606,173,25-34,Free,usr_6438
9,141,108,2025-05-19 03:56:40,108,Artist_8,Pop,181476,189930,141,18-24,Free,usr_6350
10,126,136,2025-05-22 01:49:08,136,Artist_36,Electronic,125486,535564,126,45-54,Free,usr_3067
11,58,119,2025-01-17 18:46:17,119,Artist_19,Hip-Hop,134397,625830,58,25-34,Premium,usr_9310
12,148,125,2025-05-11 18:28:39,125,Artist_25,Rock,159954,455249,148,35-44,Free,usr_9162
13,200,128,2025-06-21 15:01:15,128,Artist_28,Classical,267851,617313,200,45-54,Free,usr_5484
14,61,100,2025-06-16 15:42:01,100,Artist_0,Pop,203042,645977,61,25-34,Free,usr_6632
15,127,134,2025-01-22 07:12:32,134,Artist_34,Electronic,283379,128295,127,55+,Premium,usr_2503
16,105,105,2025-06-08 22:51:14,105,Artist_5,Electronic,285983,138102,105,18-24,Premium,usr_8813
17,167,136,2025-05-19 07:52:30,136,Artist_36,Electronic,125486,535564,167,45-54,Premium,usr_4734
18,1,104,2025-05-23 15:19:38,104,Artist_4,Hip-Hop,190640,633636,1,45-54,Premium,usr_1392
19,131,132,2025-04-06 19:41:51,132,Artist_32,Jazz,179163,416837,131,35-44,Free,usr_4710
20,92,148,2025-04-17 14:38:59,148,Artist_48,Hip-Hop,209780,348683,92,18-24,Free,usr_8610
21,190,113,2025-05-04 02:43:54,113,Artist_13,Electronic,294358,254697,190,35-44,Free,usr_5420
22,191,111,2025-06-22 04:33:43,111,Artist_11,Hip-Hop,271222,827627,191,25-34,Free,usr_6856
23,113,141,2025-04-28 20:13:21,141,Artist_41,Electronic,262202,494540,113,55+,Free,usr_7684
24,153,119,2025-04-30 07:07:25,119,Artist_19,Hip-Hop,134397,625830,153,18-24,Free,usr_4524
25,56,149,2025-03-22 14:43:06,149,Artist_49,Pop,272617,334677,56,18-24,Free,usr_1997
26,161,123,2025-05-27 13:31:19,123,Artist_23,Rock,239180,139081,161,35-44,Free,usr_5577
27,166,142,2025-01-25 10:49:43,142,Artist_42,Electronic,207508,977699,166,25-34,Free,usr_7985
28,117,133,2025-04-28 10:28:26,133,Artist_33,Rock,171934,389106,117,25-34,Free,usr_7930
29,134,124,2025-05-10 01:13:57,124,Artist_24,Electronic,186234,818216,134,55+,Free,usr_3456
30,58,149,2025-06-19 20:28:33,149,Artist_49,Pop,272617,334677,58,25-34,Premium,usr_9310
31,44,128,2025-02-01 12:00:01,128,Artist_28,Classical,267851,617313,44,25-34,Free,usr_1982
32,173,138,2025-06-21 02:33:55,138,Artist_38,Electronic,206900,338067,173,25-34,Free,usr_6438
33,160,130,2025-04-19 14:21:51,130,Artist_30,Hip-Hop,288011,712380,160,35-44,Free,usr_3436
34,173,146,2025-06-26 02:25:59,146,Artist_46,Electronic,121062,119870,173,25-34,Free,usr_6438
35,61,142,2025-01-14 13:03:14,142,Artist_42,Electronic,207508,977699,61,25-34,Free,usr_6632
36,47,149,2025-02-12 14:47:22,149,Artist_49,Pop,272617,334677,47,25-34,Premium,usr_5636
37,149,122,2025-04-11 04:58:51,122,Artist_22,Pop,251800,805703,149,25-34,Free,usr_3805
38,80,143,2025-06-26 00:02:16,143,Artist_43,Pop,238324,617923,80,45-54,Free,usr_8529
39,118,137,2025-04-13 20:59:09,137,Artist_37,Hip-Hop,259407,257504,118,35-44,Free,usr_1145
40,164,119,2025-05-10 05:40:11,119,Artist_19,Hip-Hop,134397,625830,164,18-24,Free,usr_2539
41,147,122,2025-05-02 21:08:08,122,Artist_22,Pop,251800,805703,147,45-54,Free,usr_8776
42,20,144,2025-05-16 03:12:25,144,Artist_44,Jazz,180566,266981,20,45-54,Premium,usr_9604
43,185,115,2025-05-21 00:40:00,115,Artist_15,Jazz,188450,331915,185,25-34,Premium,usr_6476
44,146,149,2025-03-21 16:53:42,149,Artist_49,Pop,272617,334677,146,45-54,Premium,usr_6533
45,47,141,2025-02-27 23:13:44,141,Artist_41,Electronic,262202,494540,47,25-34,Premium,usr_5636
46,49,107,2025-02-22 23:55:49,107,Artist_7,Hip-Hop,283551,464778,49,25-34,Free,usr_4520
47,14,149,2025-06-23 13:52:05,149,Artist_49,Pop,272617,334677,14,25-34,Free,usr_2230
48,143,120,2025-02-06 00:10:06,120,Artist_20,Rock,292627,383821,143,45-54,Free,usr_5054
49,159,100,2025-06-10 09:55:23,100,Artist_0,Pop,203042,645977,159,18-24,Free,usr_7631
50,1,107,2025-03-19 03:37:20,107,Artist_7,Hip-Hop,283551,464778,1,45-54,Premium,usr_1392
51,117,128,2025-04-20 20:05:58,128,Artist_28,Classical,267851,617313,117,25-34,Free,usr_7930
52,54,131,2025-03-21 01:50:28,131,Artist_31,Pop,286342,619332,54,55+,Free,usr_3069
53,118,137,2025-04-06 01:50:26,137,Artist_37,Hip-Hop,259407,257504,118,35-44,Free,usr_1145
54,3,104,2025-06-06 15:11:09,104,Artist_4,Hip-Hop,190640,633636,3,35-44,Premium,usr_1874
